	Ritregla	ex_1_standardized	ex_2_standardized	ex_3_standardized	ex_1_original	ex_2_original	ex_3_original	ex_1_byt5-22-09	ex_2_byt5-22-09	ex_3_byt5-22-09	ex_1_byt5-23-12	ex_2_byt5-23-12	ex_3_byt5-23-12	ex_1_byt5-24-03	ex_2_byt5-24-03	ex_3_byt5-24-03	ex_1_greynir	ex_2_greynir	ex_3_greynir	ex_1_google	ex_2_google	ex_3_google	ex_1_word	ex_2_word	ex_3_word	ex_1_puki	ex_2_puki	ex_3_puki	ex_1_skrambi	ex_2_skrambi	ex_3_skrambi	ex_1_ice-gpt-sw3	ex_2_ice-gpt-sw3	ex_3_ice-gpt-sw3
0	1.2.1 (a)	Afi og amma ætla að koma í heimsókn. Þau koma bráðum.	Ráðgert er að nýtt hús rísi í vor. Vinnan við það er þó ekki hafin.	Margt skiptir máli þegar skáldsögur eru skrifaðar. Málfar er t.d. mikilvægar þáttur.	Afi og amma ætla að koma í heimsókn. þau koma bráðum.	Ráðgert er að nýtt hús rísi í vor. vinnan við það er þó ekki hafin.	Margt skiptir máli þegar skáldsögur eru skrifaðar. málfar er t.d. mikilvægar þáttur.	Afi og amma ætla að koma í heimsókn en þau koma bráðum.	Ráðgert er að nýtt hús rísi í vor en vinnan við það er þó ekki hafin.	Margt skiptir máli þegar skáldsögur eru skrifaðar, málfar er t. d. mikilvægur þáttur.	Afi og amma ætla að koma í heimsókn. Þau koma bráðum.	Ráðgert er að nýtt hús rísi í vor. Vinnan við það er þó ekki hafin.	Margt skiptir máli þegar skáldsögur eru skrifaðar. Málfar er t.d. mikilvægur þáttur.	Afi og amma ætla að koma í heimsókn. Þau koma bráðum.	Ráðgert er að nýtt hús rísi í vor. Vinna við það er þó ekki hafin.	Margt skiptir máli þegar skáldsögur eru skrifaðar. Málfar er t.d. mikilvægur þáttur.	Afi og amma ætla að koma í heimsókn. Þau koma bráðum.	Ráðgert er að nýtt hús rísi í vor. Vinnan við það er þó ekki hafin.	Margt skiptir máli þegar skáldsögur eru skrifaðar. Málfar er t.d. mikilvægar þáttur.	Afi og amma ætla að koma í heimsókn. þau koma bráðum.	Ráðgert er að nýtt hús rísi í vor. vinnan við það er þó ekki hafin.	Margt skiptir máli þegar skáldsögur eru skrifaðar. málfar er t.d. mikilvægar þáttur.	Afi og amma ætla að koma í heimsókn. þau koma bráðum.	Ráðgert er að nýtt hús rísi í vor. vinnan við það er þó ekki hafin.	Margt skiptir máli þegar skáldsögur eru skrifaðar. málfar er t.d. mikilvægar þáttur.	Afi og amma ætla að koma í heimsókn. þau koma bráðum.	Ráðgert er að nýtt hús rísi í vor. vinnan við það er þó ekki hafin.	Margt skiptir máli þegar skáldsögur eru skrifaðar. málfar er t.d. mikilvægar þáttur.	Afi og amma ætla að koma í heimsókn. þau koma bráðum.	Ráðgert er að nýtt hús rísi í vor. vinnan við það er þó ekki hafin.	Margt skiptir máli þegar skáldsögur eru skrifaðar. málfar er t.d. mikilvægar þáttur.	Afi og amma ætla að koma í heimsókn. Þau koma bráðum.	Ráðgert er að nýtt hús rísi í vor. vinnan við það er þó ekki hafin.	Margt skiptir máli þegar skáldsögur eru skrifaðar. Málfar er t.d. mikilvægur þáttur.
1	1.2.1 (ba)	Ég heiti ekki Jón! Hann heitir Jón, ekki ég.	Þetta er víst hollt! Borðaðu þetta bara!	Farðu burt! Núna!	Ég heiti ekki Jón! hann heitir Jón, ekki ég.	Þetta er víst hollt! borðaðu þetta bara!	Farðu burt! núna!	Ég heiti ekki Jón! Hann heitir Jón, ekki ég.	Þetta er víst hollt, borðaðu þetta bara!	Farðu burt núna!	Ég heiti ekki Jón! Hann heitir Jón, ekki ég.	Þetta er víst hollt! Borðaðu þetta bara!	Farðu burt! Núna!	Ég heiti ekki Jón! Hann heitir Jón, ekki ég.	Þetta er víst hollt! borðaðu þetta bara!	Farðu burt! Núna!	Ég heiti ekki Jón! Hann heitir Jón, ekki ég.	Þetta er víst hollt! Borðaðu þetta bara!	Farðu burt! Núna!	Ég heiti ekki Jón! hann heitir Jón, ekki ég.	Þetta er víst hollt! borðaðu þetta bara!	Farðu burt! núna!	Ég heiti ekki Jón! hann heitir Jón, ekki ég.	Þetta er víst hollt! borðaðu þetta bara!	Farðu burt! núna!	Ég heiti ekki Jón! hann heitir Jón, ekki ég.	Þetta er víst hollt! borðaðu þetta bara!	Farðu burt! núna!	Ég heiti ekki Jón! hann heitir Jón, ekki ég.	Þetta er víst hollt! borðaðu þetta bara!	Farðu burt! núna!	Ég heiti ekki Jón! Hann heitir Jón, ekki ég.	Þetta er víst hollt! borðaðu þetta bara!	Farðu burt! núna!
2	1.2.1 (bb)	„Stansið!“ var allt í einu hrópað.	„Ekki aftur!“ sagði Tómas.	„Nei!“ æpti Sigga.	„Stansið!“ Var allt í einu hrópað.	„Ekki aftur!“ Sagði Tómas.	„Nei!“ Æpti Sigga.	„Stansið!“ Var allt í einu hrópað.	„Ekki aftur!“ Sagði Tómas.	„Nei!“ Æpti Sigga.	„Stansið!“ Var allt í einu hrópað.	„Ekki aftur!“ Sagði Tómas.	„Nei!“ æpti Sigga.	„Stansið!“ Var allt í einu hrópað.	„Ekki aftur!“ Sagði Tómas.	„Nei!“ æpti Sigga.	„Standið!“ Var allt í einu hrópað.	„Ekki aftur!“ Sagði Tómas.	„Nei!“ Æpti Sigga.	„Stansið!“ Var allt í einu hrópað.	„Ekki aftur!“ Sagði Tómas.	„Nei!“ Æpti Sigga.	„Stansið!“ Var allt í einu hrópað.	„Ekki aftur!“ Sagði Tómas.	„Nei!“ Æpti Sigga.	„Stansið!“ Var allt í einu hrópað.	„Ekki aftur!“ Sagði Tómas.	„Nei!“ Æpti Sigga.	„Stansið!“ Var allt í einu hrópað.	„Ekki aftur!“ Sagði Tómas.	„Nei!“ Æpti Sigga.	„Stansið!“ Var allt í einu hrópað.	„Ekki aftur!“ Sagði Tómas.	„Nei!“ Æpti Sigga.
3	1.2.1 (ca)	Hvers vegna vill hún ekki ís? Af því að henni finnst ís ekki góður.	Hvers vegna er bókin á borðinu? Því að María gleymdi henni þar.	Hvers vegna er enginn í vinnunni? Vegna þess að það er frídagur.	Hvers vegna vill hún ekki ís? af því að henni finnst ís ekki góður.	Hvers vegna er bókin á borðinu? því að María gleymdi henni þar.	Hvers vegna er enginn í vinnunni? vegna þess að það er frídagur.	Hvers vegna vill hún ekki ís? Af því að henni finnst ís ekki góður.	Hvers vegna er bókin á borðinu? Því að María gleymdi henni þar.	Hvers vegna er enginn í vinnunni? Vegna þess að það er frídagur.	Hvers vegna vill hún ekki ís? Af því að henni finnst ís ekki góður.	Hvers vegna er bókin á borðinu? Því að María gleymdi henni þar.	Hvers vegna er enginn í vinnunni? Vegna þess að það er frídagur.	Hvers vegna vill hún ekki ís? af því að henni finnst ís ekki góður.	Hvers vegna er bókin á borðinu? Því að María gleymdi henni þar.	Hvers vegna er enginn í vinnunni? vegna þess að það er frídagur.	Hvers vegna vil hún ekki ís? Af því að henni finnst ís ekki góður.	Hvers vegna er bókin á borðinu? Því að María gleymdi henni þar.	Hvers vegna er enginn í vinnunni? Vegna þess að því er frídagur.	Hvers vegna vill hún ekki ís? af því að henni finnst ís ekki góður.	Hvers vegna er bókin á borðinu? því að María gleymdi henni þar.	Hvers vegna er enginn í vinnunni? vegna þess að það er frídagur.	Hvers vegna vill hún ekki ís? af því að henni finnst ís ekki góður.	Hvers vegna er bókin á borðinu? því að María gleymdi henni þar.	Hvers vegna er enginn í vinnunni? vegna þess að það er frídagur.	Hvers vegna vill hún ekki ís? af því að henni finnst ís ekki góður.	Hvers vegna er bókin á borðinu? því að María gleymdi henni þar.	Hvers vegna er enginn í vinnunni? vegna þess að það er frídagur.	Hvers vegna vill hún ekki ís? af því að henni finnst ís ekki góður.	Hvers vegna er bókin á borðinu? því að María gleymdi henni þar.	Hvers vegna er enginn í vinnunni? vegna þess að það er frídagur.	Hvers vegna vill hún ekki ís? Af því að henni finnst ís ekki góður.	Hvers vegna er bókin á borðinu? Því að María gleymdi henni þar.	Hvers vegna er enginn í vinnunni? Vegna þess að það er frídagur.
4	1.2.1 (cb)	„Hvenær kemur þú heim?“ spurði Jón.	„Á ég að rétta upp hendurnar?“ spurði Eva.	„Hvað áttu við?“ innti hún eftir.	„Hvenær kemur þú heim?“ Spurði Jón.	„Á ég að rétta upp hendurnar?“ Spurði Eva.	„Hvað áttu við?“ Innti hún eftir.	„Hvenær kemur þú heim?“ spurði Jón.	„Á ég að rétta upp hendurnar?“ spurði Eva.	„Hvað áttu við?“ Innti hún eftir.	„Hvenær kemur þú heim?“ spurði Jón.	„Á ég að rétta upp hendurnar?“ Spurði Eva.	„Hvað áttu við?“ Innti hún eftir.	„Hvenær kemur þú heim?“ Spurði Jón.	„Á ég að rétta upp hendurnar?“ Spurði Eva.	„Hvað áttu við?“ Innti hún eftir.	„Hvenær kemur þú heim?“ Spurði Jón.	„Á ég að rétta upp hendurnar?“ Spurði Eva.	„Hvað átti við?“ Innti hún eftir.	„Hvenær kemur þú heim?“ Spurði Jón.	„Á ég að rétta upp hendurnar?“ Spurði Eva.	„Hvað áttu við?“ Innti hann eftir.	„Hvenær kemur þú heim?“ Spurði Jón.	„Á ég að rétta upp hendurnar?“ Spurði Eva.	„Hvað áttu við?“ Innti hún eftir.	„Hvenær kemur þú heim?“ Spurði Jón.	„Á ég að rétta upp hendurnar?“ Spurði Eva.	„Hvað áttu við?“ Innti hún eftir.	„Hvenær kemur þú heim?“ Spurði Jón.	„Á ég að rétta upp hendurnar?“ Spurði Eva.	„Hvað áttu við?“ Innti hún eftir.	„Hvenær kemur þú heim?“ spurði Jón.	„Á ég að rétta upp hendurnar?“ spurði Eva.	„Hvað áttu við?“ Innti hún eftir.
5	1.2.1 (da)	Hér er staðreynd: Hún er systir mín.	Ég gerði of miklar kröfur til sjálfs mín í skóla: Átta þótti mér t.d. ekki góð einkunn.	Ég sagði: „Það var nú gott.“	Hér er staðreynd: hún er systir mín.	Ég gerði of miklar kröfur til sjálfs mín í skóla: átta þótti mér t.d. ekki góð einkunn.	Ég sagði: „það var nú gott.“	Hér er staðreynd: hún er systir mín.	Ég gerði of miklar kröfur til sjálfs mín í skóla: átta þótti mér t.d. ekki góð einkunn.	Ég sagði: „Það var nú gott.“	Hér er staðreynd: hún er systir mín.	Ég gerði of miklar kröfur til sjálfs mín í skóla: átta þótti mér t.d. ekki góð einkunn.	Ég sagði: „Það var nú gott.“	Hér er staðreynd: hún er systir mín.	Ég gerði of miklar kröfur til sjálfs mín í skóla: átta þótti mér t.d. ekki góð einkunn.	Ég sagði: „Það var nú gott.“	Hér er staðreynd: Hún er systir mín.	Ég gerði of miklar kröfur til sjálfs mín í skóla: Átta þótti mér t.d. ekki góð einkunn.	Ég sagði: „Það var nú gott.“	Hér er staðreynd: hún er systir mín.	Ég gerði of miklar kröfur til sjálfs mín í skóla: átta þótti mér t.d. ekki góð einkunn.	Ég sagði: „það var nú gott.“	Hér er staðreynd: hún er systir mín.	Ég gerði of miklar kröfur til sjálfs mín í skóla: átta þótti mér t.d. ekki góð einkunn.	Ég sagði: „það var nú gott.“	Hér er staðreynd: hún er systir mín.	Ég gerði of miklar kröfur til sjálfs mín í skóla: átta þótti mér t.d. ekki góð einkunn.	Ég sagði: „það var nú gott.“	Hér er staðreynd: hún er systir mín.	Ég gerði of miklar kröfur til sjálfs mín í skóla: átta þótti mér t.d. ekki góð einkunn.	Ég sagði: „það var nú gott.“	Hér er staðreynd: hún er systir mín.	Ég gerði of miklar kröfur til sjálfs míns í skóla: átta þótti mér t. d. ekki góð einkunn.	Ég sagði: „Það var nú gott.“
6	1.2.1 (db)	Þú elskar þetta mest í lífinu: svefn og tölvuleiki.	Ég þarf að kaupa þrennt: mjólk, brauð og smjör.	Hann er seinheppinn eins og fyrri daginn: missir af flugvélinni og tefst í þrjá daga.	Þú elskar þetta mest í lífinu: Svefn og tölvuleiki.	Ég þarf að kaupa þrennt: Mjólk, brauð og smjör.	Hann er seinheppinn eins og fyrri daginn: Missir af flugvélinni og tefst í þrjá daga.	Þú elskar þetta mest í lífinu: Svefn og tölvuleiki.	Ég þarf að kaupa þrennt: Mjólk, brauð og smjör.	Hann er seinheppinn eins og fyrri daginn: Missir af flugvélinni og tefst í þrjá daga.	Þú elskar þetta mest í lífinu: Svefn og tölvuleiki.	Ég þarf að kaupa þrennt: Mjólk, brauð og smjör.	Hann er seinheppinn eins og fyrri daginn: Missir af flugvélinni og tefst í þrjá daga.	Þú elskar þetta mest í lífinu: Svefn og tölvuleiki.	Ég þarf að kaupa þrennt: Mjólk, brauð og smjör.	Hann er seinheppinn eins og fyrri daginn: Missir af flugvélinni og tefst í þrjá daga.	Þú elskar þetta mest í lífinu: Svefn og tölvuleiki.	Ég þarf að kaupa þrennt: Mjólk, brauð og smjör.	Hann er seinheppinn eins og fyrri daginn: Missir af flugvélinni og tefst í þrjá daga.	Þú elskar þetta mest í lífinu: Svefn og tölvuleiki.	Ég þarf að kaupa þrennt: Mjólk, brauð og smjör.	Hann er seinheppinn eins og fyrri daginn: Missir af flugvélinni og efst í þrjá daga.	Þú elskar þetta mest í lífinu: Svefn og tölvuleiki.	Ég þarf að kaupa þrennt: Mjólk, brauð og smjör.	Hann er seinheppinn eins og fyrri daginn: Missir af flugvélinni og tefst í þrjá daga.	Þú elskar þetta mest í lífinu: Svefn og tölvuleiki.	Ég þarf að kaupa þrennt: Mjólk, brauð og smjör.	Hann er seinheppinn eins og fyrri daginn: Missir af flugvélinni og tefst í þrjá daga.	Þú elskar þetta mest í lífinu: Svefn og tölvuleiki.	Ég þarf að kaupa þrennt: Mjólk, brauð og smjör.	Hann er seinheppinn eins og fyrri daginn: Missir af flugvélinni og tefst í þrjá daga.	Þú elskar þetta mest í lífinu: Svefn og tölvuleiki.	Ég þarf að kaupa þrennt: Mjólk, brauð og smjör.	Hann er seinheppinn eins og fyrri daginn: Missir af flugvélinni og tefst í þrjá daga.
7	1.2.1 (e)	Gömul hús geta verið falleg, jafnvel mjög gömul hús.	Þess vegna drekkur María, sem hugsar mikið um svefninn, kaffi ekki eftir kvöldmat.	Á fundi árið 2002, Þegar einungis þrír dagar voru liðnir frá stofnun fyrirtækisins, lýstu eigendurnir sig gjaldþrota.	Gömul hús geta verið falleg, Jafnvel mjög gömul hús.	Þess vegna drekkur María, sem hugsar mikið um svefninn, Kaffi ekki eftir kvöldmat.	Á fundi árið 2002, þegar einungis þrír dagar voru liðnir frá stofnun fyrirtækisins, Lýsti eigendurnir sig gjaldþrota.	Gömul hús geta verið falleg, jafnvel mjög gömul hús.	Þess vegna drekkur María, sem hugsar mikið um svefninn, ekki kaffi eftir kvöldmat.	Á fundi árið 2002, þegar einungis þrír dagar voru liðnir frá stofnun fyrirtækisins, lýstu eigendurnir sig gjaldþrota.	Gömul hús geta verið falleg, jafnvel mjög gömul hús.	Þess vegna drekkur María, sem hugsar mikið um svefninn, ekki kaffi eftir kvöldmat.	Á fundi árið 2002, þegar einungis þrír dagar voru liðnir frá stofnun fyrirtækisins, lýstu eigendurnir sig gjaldþrota.	Gömul hús geta verið falleg, jafnvel mjög gömul hús.	Þess vegna drekkur María, sem hugsar mikið um svefninn, kaffi ekki eftir kvöldmat.	Á fundi árið 2002, þegar einungis þrír dagar voru liðnir frá stofnun fyrirtækisins, lýstu eigendurnir sig gjaldþrota.	Gömul hús geta verið falleg, Jafnvel mjög gömul hús.	Þess vegna drekkur María, sem hugsar mikið um svefninn, Kaffi ekki eftir kvöldmat.	Á fundi árið 2002, þegar einungis þrír dagar voru liðnir frá stofnun fyrirtækisins, Lýsti eigendurnir sig gjaldþrota.	Gömul hús geta verið falleg, Jafnvel mjög gömul hús.	Þess vegna drekkur María, sem hugsar mikið um svefninn, Kaffi ekki eftir kvöldmat.	Á fundi árið 2002, þegar einungis þrír dagar voru liðnir frá stofnun fyrirtækisins, Lýsti eigendurnir sig gjaldþrota.	Gömul hús geta verið falleg, Jafnvel mjög gömul hús.	Þess vegna drekkur María, sem hugsar mikið um svefninn, Kaffi ekki eftir kvöldmat.	Á fundi árið 2002, þegar einungis þrír dagar voru liðnir frá stofnun fyrirtækisins, Lýsti eigendurnir sig gjaldþrota.	Gömul hús geta verið falleg, Jafnvel mjög gömul hús.	Þess vegna drekkur María, sem hugsar mikið um svefninn, Kaffi ekki eftir kvöldmat.	Á fundi árið 2002, þegar einungis þrír dagar voru liðnir frá stofnun fyrirtækisins, Lýsti eigendurnir sig gjaldþrota.	Gömul hús geta verið falleg, Jafnvel mjög gömul hús.	Þess vegna drekkur María, sem hugsar mikið um svefninn, Kaffi ekki eftir kvöldmat.	Á fundi árið 2002, þegar einungis þrír dagar voru liðnir frá stofnun fyrirtækisins, Lýsti eigendurnir sig gjaldþrota.	Gömul hús geta verið falleg, jafnvel mjög gömul hús.	Þess vegna drekkur María, sem hugsar mikið um svefninn, ekki Kaffi eftir kvöldmat.	Á fundi árið 2002, þegar einungis þrír dagar voru liðnir frá stofnun fyrirtækisins, lýstu eigendurnir sig gjaldþrota.
8	1.2.1 (f)	Það er vandamálið við bækur; þó að maður lesi þær oft, verða þær ekkert léttari.	Það eru margir góðir veitingastaðir á landsbyggðinni; í Ólafsvík er besti hamborgarastaður landsins.	Hann kom ekkert sérlega vel fram við pabba; okkur systrunum líkaði það ekki.	Það er vandamálið við bækur; Þó að maður lesi þær oft, verða þær ekkert léttari.	Það eru margir góðir veitingastaðir á landsbyggðinni; Í Ólafsvík er besti hamborgarastaður landsins.	Hann kom ekkert sérlega vel fram við pabba; Okkur systrunum líkaði það ekki.	Það er vandamálið við bækur; Þó að maður lesi þær oft, verða þær ekkert léttari.	Það eru margir góðir veitingastaðir á landsbyggðinni; Í Ólafsvík er besti hamborgarastaður landsins.	Hann kom ekkert sérlega vel fram við pabba; Okkur systrunum líkaði það ekki.	Það er vandamálið við bækur; þó að maður lesi þær oft, verða þær ekkert léttari.	Það eru margir góðir veitingastaðir á landsbyggðinni; Í Ólafsvík er besti hamborgarastaður landsins.	Hann kom ekkert sérlega vel fram við pabba; Okkur systrunum líkaði það ekki.	Það er vandamálið við bækur; Þó að maður lesi þær oft, verða þær ekkert léttari.	Það eru margir góðir veitingastaðir á landsbyggðinni; í Ólafsvík er besti hamborgarastaður landsins.	Hann kom ekkert sérlega vel fram við pabba; okkur systrunum líkaði það ekki.	Það er vandamálið við bækur; Þó að maður lesi þær oft, verða þær ekkert léttari.	Það eru margir góðir veitingastaðir á landsbyggðinni; Í Ólafsvík er besti hamborgarastaður landsins.	Hann kom ekkert sérlega vel fram við pabba; Okkur systrunum líkaði það ekki.	Það er vandamálið við bækur; Þó að maður lesi þær oft, verða þær ekkert léttari.	Það eru margir góðir veitingastaðir á landsbyggðinni; Í Ólafsvík er besti hamborgarastaður landsins.	Hann kom ekkert sérlega vel fram við pabba; Okkur systrunum líkaði það ekki.	Það er vandamálið við bækur; Þó að maður lesi þær oft, verða þær ekkert léttari.	Það eru margir góðir veitingastaðir á landsbyggðinni; Í Ólafsvík er besti hamborgarastaður landsins.	Hann kom ekkert sérlega vel fram við pabba; Okkur systrunum líkaði það ekki.	Það er vandamálið við bækur; Þó að maður lesi þær oft, verða þær ekkert léttari.	Það eru margir góðir veitingastaðir á landsbyggðinni; Í Ólafsvík er besti hamborgarastaður landsins.	Hann kom ekkert sérlega vel fram við pabba; Okkur systrunum líkaði það ekki.	Það er vandamálið við bækur; Þó að maður lesi þær oft, verða þær ekkert léttari.	Það eru margir góðir veitingastaðir á landsbyggðinni; Í Ólafsvík er besti hamborgarastaður landsins.	Hann kom ekkert sérlega vel fram við pabba; Okkur systrunum líkaði það ekki.	Það er vandamálið við bækur; þó að maður lesi þær oft, verða þær ekkert léttari.	Það eru margir góðir veitingastaðir á landsbyggðinni; Í Ólafsvík er besti hamborgarastaður landsins.	Hann kom ekkert sérlega vel fram við pabba; okkur systrunum líkaði það ekki.
9	1.2.2.1 (a)	Ég ætla í Rauða krossinn að finna notaðar buxur.	Borgarfjörður eystri fyllist af fólki þegar tónlistarhátíðin Bræðslan er haldin.	Hvar er Stofnun Árna Magnússonar í íslenskum fræðum til húsa?	Ég ætla í Rauða Krossinn að finna notaðar buxur.	Borgarfjörður Eystri fyllist af fólki þegar tónlistarhátíðin Bræðslan er haldin.	Hvar er Stofnun Árna Magnússonar í Íslenskum Fræðum til húsa?	Ég ætla í Rauða Krossinn að finna notaðar buxur.	Borgarfjörður Eystri fyllist af fólki þegar tónlistarhátíðin Bræðslan er haldin.	Hvar er Stofnun Árna Magnússonar í Íslenskum fræðum til húsa?	Ég ætla í Rauða Krossinn að finna notaðar buxur.	Borgarfjörður Eystri fyllist af fólki þegar tónlistarhátíðin Bræðslan er haldin.	Hvar er Stofnun Árna Magnússonar í Íslenskum Fræðum til húsa?	Ég ætla í Rauða Krossinn að finna notaðar buxur.	Borgarfjörður Eystri fyllist af fólki þegar tónlistarhátíðin Bræðslan er haldin.	Hvar er Stofnun Árna Magnússonar í Íslenskum Fræðum til húsa?	Ég ætla í Rauða Krossinn að finna notaðar buxur.	Borgarfjörður Eystri fyllist af fólki þegar tónlistarhátíðin Bræðslan er haldin.	Hvar er Stofnun Árna Magnússonar í íslenskum Fræðum til húsa?	Ég ætla í Rauða Krossinn að finna notaðar buxur.	Borgarfjörður Eystri fyllist af fólki þegar tónlistarhátíðin Bræðslan er haldin.	Hvar er Stofnun Árna Magnússonar í Íslenskum Fræðum til húsa?	Ég ætla í Rauða Krossinn að finna notaðar buxur.	Borgarfjörður Eystri fyllist af fólki þegar tónlistarhátíðin Fræðslan er haldin.	Hvar er Stofnun Árna Magnússonar í Íslenskum Fræðum til húsa?	Ég ætla í Rauða Krossinn að finna notaðar buxur.	Borgarfjörður Eystri fyllist af fólki þegar tónlistarhátíðin Bræðslan er haldin.	Hvar er Stofnun Árna Magnússonar í Íslenskum Fræðum til húsa?	Ég ætla í Rauða Krossinn að finna notaðar buxur.	Borgarfjörður Eystri fyllist af fólki þegar tónlistarhátíðin Bræðslan er haldin.	Hvar er Stofnun Árna Magnússonar í Íslenskum Fræðum til húsa?	Ég ætla í Rauða Krossinn að finna notaðar buxur.	Borgarfjörður Eystri fyllist af fólki þegar tónlistarhátíðin Bræðslan er haldin.	Hvar er Stofnun Árna Magnússonar í íslenskum fræðum til húsa?
